name,name_alt,lat,lon
Ишимбай,Ишимбай,53.4545764,56.0438751
Кумертау,Кумертау,52.7564939,55.7970197
Межгорье,Межгорье,54.2397689,57.9614547
Мелеуз,Мелеуз,52.9589532,55.9282838
Нефтекамск,Нефтекамск,56.088377,54.2483061
Октябрьский,Октябрьский,54.4815311,53.4655972
Салават,Салават,53.3616974,55.9245224
Сибай,Сибай,52.7204651,58.6663783
Стерлитамак,Стерлитамак,53.6300864,55.9317089
Туймазы,Туймазы,54.5999224,53.6950623
Уфа,Уфа,54.734944,55.9578468
Учалы,Учалы,54.3067375,59.4125461
Янаул,Янаул,56.2650146,54.929907
Бабушкин,Бабушкин,51.7112755,105.8673219
Гусиноозёрск,Гусиноозерск,51.2865048,106.5230319
Закаменск,Закаменск,50.372713,103.286699
Кяхта,Кяхта,50.346543,106.4533516
Северобайкальск,Северобайкальск,55.635614,109.3361505
Улан-Удэ,Улан-Удэ,51.8335853,107.5842223
Горно-Алтайск,Горно-Алтайск,51.9581028,85.9603235
Майкоп,Майкоп,44.6098268,40.1006606
Адыгейск,Адыгейск,44.878414,39.190289
Агидель,Агидель,55.8999056,53.9220144
Баймак,Баймак,52.5912896,58.3110998
Белебей,Белебей,54.1034582,54.1113129
Белорецк,Белорецк,53.9676488,58.4100419
Бирск,Бирск,55.4155753,55.5582214
Благовещенск,Благовещенск,55.0499867,55.9553186
Давлеканово,Давлеканово,54.2226707,55.0312373
Дюртюли,Дюртюли,55.4848318,54.8524765
Буйнакск,Буйнакск,42.8214424,47.1165263
Дагестанские Огни,Дагестанские Огни,42.1152296,48.1939354
Дербент,Дербент,42.058966,48.2907452
Избербаш,Избербаш,42.5650962,47.8710051
Каспийск,Каспийск,42.8916007,47.6367066
Кизилюрт,Кизилюрт,43.203825,46.8729636
Кизляр,Кизляр,43.8484083,46.7233699
Махачкала,Махачкала,42.9849159,47.5047181
Хасавюрт,Хасавюрт,43.2504665,46.5851292
Южно-Сухокумск,Южно-Сухокумск,44.6602467,45.6499523
Карабулак,Карабулак,43.3055248,44.9094582
Магас,Магас,43.1688611,44.8131207
Малгобек,Малгобек,43.5096646,44.5901963
Назрань,Назрань,43.2257841,44.7645779
Сунжа,Сунжа,43.3204196,45.0476331
Баксан,Баксан,43.6819137,43.5345036
